USERID,SHOPID,ARRIVAL_TIME
9431,4966,20140811105156
9431,4966,20140811171740
1947,7301,20140817120002
9935,9036,20140811104107
9935,8988,20140817165311
9935,9266,20140817141241
9935,9266,20140817125005
4320,8872,20140811100141
6810,8775,20140811170732
6810,8775,20140817175743
2046,10495,20140811114605
8277,7998,20140811164330
8277,7998,20140811191351
6947,1835,20140817112920
6947,9617,20140817100015
7484,556,20140811181243
7484,4883,20140817115844
4675,3826,20140811120301
4675,3826,20140817120756
6447,7896,20140811163637
4332,9280,20140811104245
4332,9280,20140817180650
4332,9280,20140817160633
4332,9280,20140817113039
4332,9280,20140811163910
4332,9280,20140811155853
4332,9280,20140811122033
4323,7961,20140811111801
5296,8980,20140817173206
1673,9855,20140817135445
2096,4883,20140811133608
3401,7977,20140811151652
9484,11145,20140817173024
1560,10490,20140817163328
7199,9151,20140811175523
6775,9043,20140811110337
6775,7303,20140817113425
6775,7303,20140811125838
1183,9118,20140817183929
1183,18,20140817171711
1183,9337,20140817141613
1900,1910,20140817194233
2870,9119,20140811101713
2870,3821,20140811174226
2870,3772,20140811115526
1214,9271,20140811183007
5717,11559,20140811161836
4870,9048,20140817161803
4870,9118,20140817151112
2917,5033,20140811101721
7426,10484,20140811114141
288,9256,20140811101853
842,11640,20140811120507
842,6129,20140817150556
842,6140,20140817133617
842,11640,20140811171214
842,6129,20140811133143
7438,5342,20140817133822
7723,12,20140817111140
7723,661,20140817104033
8871,10510,20140811185551
8871,10534,20140817152203
381,5714,20140811104937
381,5711,20140817143237
381,5714,20140817124019
9420,9328,20140811190131
9420,9328,20140817180914
1498,7996,20140811112801
1498,7996,20140811121923
126,3853,20140811185830
126,10402,20140817105043
2584,7946,20140811152236
2584,9309,20140817131226
2584,7307,20140817101118
8398,1784,20140811100717
8398,10634,20140817110300
8398,9296,20140811120549
9226,11760,20140817171029
649,7277,20140811181618
649,10490,20140817190616
649,7369,20140817175433
6622,1845,20140811153209
6622,3137,20140817163342
6622,1849,20140817105730
6136,249,20140811114200
6949,29,20140811122419
6949,5033,20140817143553
6949,5033,20140817114705
4192,5417,20140811190453
7534,4966,20140811143810
7534,4966,20140811172231
3475,9104,20140817165045
2270,10560,20140811162111
2270,5295,20140817124343
2270,10560,20140811175659
977,8859,20140811103957
977,8972,20140817111025
977,8899,20140811184515
977,2071,20140811145623
8995,9004,20140811100110
8995,9135,20140817154537
8995,7307,20140817114509
1561,11626,20140811125803
2376,7987,20140811105428
2376,10494,20140817114419
4681,9467,20140811110105
4681,1980,20140817172033
2887,9072,20140811125325
2887,11402,20140817165629
2887,11402,20140817125649
2887,9303,20140811173226
9738,6274,20140817152047
6933,0,20140811151515
1738,5175,20140817175121
9348,3731,20140811185010
3208,5714,20140811110727
7850,9093,20140817151111
8679,9070,20140811105415
2382,4909,20140811111642
2382,7356,20140817121528
1034,9103,20140817110627
4606,8859,20140811161420
4606,8066,20140817152524
3594,7483,20140811121135
4997,9467,20140811101246
4997,9467,20140817182855
8678,9176,20140811113747
8678,4840,20140817180412
8678,4840,20140817110938
8678,9176,20140811152753
3006,4987,20140811105919
3006,520,20140811111237
3069,4883,20140811163128
3069,4883,20140817132302
4032,782,20140811181552
7028,4459,20140811110825
2301,11725,20140811143335
2301,11512,20140817144346
2301,11770,20140817114124
2301,11512,20140811170322
2301,11725,20140811152414
4818,11531,20140811191746
2812,385,20140811105502
2812,9230,20140817130146
2812,548,20140817121004
2812,10413,20140817113927
4003,5306,20140817183350
1993,978,20140811173049
1993,1023,20140817144433
1151,3826,20140811182749
4657,5042,20140811153529
4657,9258,20140817172429
4657,8995,20140811160124
5143,974,20140811173828
5143,1632,20140817160340
3235,9266,20140811130100
3235,9175,20140817172219
3235,9175,20140817120101
5277,9866,20140817103446
8514,4359,20140811175817
4433,9039,20140811170402
6820,4883,20140811113144
6820,4883,20140817174226
6820,4883,20140817160342
8403,4940,20140811142303
8403,7277,20140817143402
8403,9035,20140817134349
8403,7337,20140811175322
1132,3864,20140811115026
9053,144,20140811125643
9053,144,20140817100352
3876,7315,20140811111517
3876,9194,20140817115022
2811,9467,20140811142747
2811,3075,20140817170416
2811,3075,20140817141935
2811,3074,20140811193054
7960,8010,20140811111208
7960,8992,20140811164816
4434,4916,20140817172742
4434,9163,20140817130058
4434,9121,20140817103521
9195,11910,20140811160924
9195,660,20140817111018
193,9695,20140811161749
193,4956,20140817191528
193,9695,20140811175610
2202,9176,20140817105221
2202,9117,20140817151522
8099,7996,20140817163232
8178,9176,20140811123723
8154,9325,20140811174612
8154,3826,20140817160255
8154,9325,20140811181234
7248,4883,20140811134807
7248,8982,20140811164911
7248,8982,20140811142715
8974,3826,20140817103821
1866,7987,20140811150300
1866,9151,20140817170219
1866,4947,20140817130538
447,7102,20140811152936
4728,9271,20140811124755
4786,8859,20140811142348
4786,8870,20140817154927
4786,8859,20140817122543
4786,8859,20140817103014
4786,8859,20140811174230
1954,9151,20140811132517
1954,9309,20140811142438
1434,3800,20140811125320
4210,9039,20140811171643
