USERID,SHOPID,ARRIVAL_TIME
133066172879F28C826547D6560DFF03,9096,20140812154829
133066172879F28C826547D6560DFF03,3836,20140814181836
133066172879F28C826547D6560DFF03,7319,20140812170414
133066172879F28C826547D6560DFF03,9095,20140812165908
61A3E6C94C1DA0399F988A19933020A2,4848,20140811100527
61A3E6C94C1DA0399F988A19933020A2,4848,20140817131739
61A3E6C94C1DA0399F988A19933020A2,9166,20140815123215
61A3E6C94C1DA0399F988A19933020A2,4848,20140815112535
61A3E6C94C1DA0399F988A19933020A2,4848,20140813180921
61A3E6C94C1DA0399F988A19933020A2,4848,20140813172438
61A3E6C94C1DA0399F988A19933020A2,4848,20140813130850
61A3E6C94C1DA0399F988A19933020A2,4848,20140812102939
61A3E6C94C1DA0399F988A19933020A2,4848,20140811130740
9FEBFB471738528D3EDAFC515C84BEF6,3814,20140811183147
9FEBFB471738528D3EDAFC515C84BEF6,641,20140817170339
9FEBFB471738528D3EDAFC515C84BEF6,9059,20140817115142
9FEBFB471738528D3EDAFC515C84BEF6,7959,20140816143734
9FEBFB471738528D3EDAFC515C84BEF6,4848,20140815154506
9FEBFB471738528D3EDAFC515C84BEF6,11092,20140812181922
9FEBFB471738528D3EDAFC515C84BEF6,7356,20140812174548
9FEBFB471738528D3EDAFC515C84BEF6,4947,20140812114131
0C05508203ABD90905508D5EAFDD741D,7978,20140811184451
0C05508203ABD90905508D5EAFDD741D,7949,20140811124709
0C05508203ABD90905508D5EAFDD741D,9200,20140817192440
0C05508203ABD90905508D5EAFDD741D,7978,20140817175452
0C05508203ABD90905508D5EAFDD741D,7978,20140817135734
0C05508203ABD90905508D5EAFDD741D,7978,20140816191349
0C05508203ABD90905508D5EAFDD741D,7978,20140816182044
0C05508203ABD90905508D5EAFDD741D,7978,20140815161046
0C05508203ABD90905508D5EAFDD741D,7978,20140814132445
0C05508203ABD90905508D5EAFDD741D,7978,20140813193346
0C05508203ABD90905508D5EAFDD741D,9072,20140813175848
0C05508203ABD90905508D5EAFDD741D,7978,20140813130942
0C05508203ABD90905508D5EAFDD741D,7978,20140813110046
0C05508203ABD90905508D5EAFDD741D,7949,20140813105542
0C05508203ABD90905508D5EAFDD741D,7978,20140812194509
0C05508203ABD90905508D5EAFDD741D,7978,20140812145836
0C05508203ABD90905508D5EAFDD741D,9200,20140812123447
0C05508203ABD90905508D5EAFDD741D,7978,20140811194446
DCF3B66751289C68A20F2112DDCCA2E5,10485,20140811103121
DCF3B66751289C68A20F2112DDCCA2E5,9648,20140817111945
DCF3B66751289C68A20F2112DDCCA2E5,3323,20140817104219
DCF3B66751289C68A20F2112DDCCA2E5,9105,20140816165504
DCF3B66751289C68A20F2112DDCCA2E5,3755,20140816134317
DCF3B66751289C68A20F2112DDCCA2E5,3858,20140815181343
DCF3B66751289C68A20F2112DDCCA2E5,4831,20140815172035
DCF3B66751289C68A20F2112DDCCA2E5,4449,20140815165121
DCF3B66751289C68A20F2112DDCCA2E5,4869,20140815135830
DCF3B66751289C68A20F2112DDCCA2E5,7993,20140815112509
DCF3B66751289C68A20F2112DDCCA2E5,3787,20140814184325
DCF3B66751289C68A20F2112DDCCA2E5,3755,20140814165326
DCF3B66751289C68A20F2112DDCCA2E5,3755,20140814143516
DCF3B66751289C68A20F2112DDCCA2E5,3755,20140814135418
DCF3B66751289C68A20F2112DDCCA2E5,3755,20140814123208
DCF3B66751289C68A20F2112DDCCA2E5,3755,20140814110513
DCF3B66751289C68A20F2112DDCCA2E5,3755,20140814105831
DCF3B66751289C68A20F2112DDCCA2E5,9296,20140813174215
DCF3B66751289C68A20F2112DDCCA2E5,9296,20140813164909
DCF3B66751289C68A20F2112DDCCA2E5,7987,20140813155004
DCF3B66751289C68A20F2112DDCCA2E5,3856,20140812180915
DCF3B66751289C68A20F2112DDCCA2E5,648,20140812171406
DCF3B66751289C68A20F2112DDCCA2E5,9202,20140811192532
DCF3B66751289C68A20F2112DDCCA2E5,3755,20140811181149
DCF3B66751289C68A20F2112DDCCA2E5,5041,20140811172350
DCF3B66751289C68A20F2112DDCCA2E5,4991,20140811141810
DCF3B66751289C68A20F2112DDCCA2E5,8005,20140811131417
DCF3B66751289C68A20F2112DDCCA2E5,9105,20140811112318
0E0795769925092FD73CB8E38A730583,6662,20140812181432
0E0795769925092FD73CB8E38A730583,6157,20140816101834
9CFFB89AF1464634B5E818B9E30133BD,527,20140812113849
9CFFB89AF1464634B5E818B9E30133BD,9230,20140815191709
9CFFB89AF1464634B5E818B9E30133BD,10490,20140815165058
9CFFB89AF1464634B5E818B9E30133BD,9340,20140815133457
9CFFB89AF1464634B5E818B9E30133BD,9340,20140813125524
E7A1AAF1F73115A00DF671AB769FF97A,6210,20140811110025
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140817182729
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140817150552
E7A1AAF1F73115A00DF671AB769FF97A,11635,20140817124600
E7A1AAF1F73115A00DF671AB769FF97A,6270,20140817113644
E7A1AAF1F73115A00DF671AB769FF97A,11635,20140817100831
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140816191309
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140816154139
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140816132202
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140816124702
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140816110520
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140815183120
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140815171353
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140815165023
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140815150714
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140815132915
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140814141107
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140813185105
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140813173025
E7A1AAF1F73115A00DF671AB769FF97A,11640,20140813155257
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140813145227
E7A1AAF1F73115A00DF671AB769FF97A,6350,20140813135624
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140812190940
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140812175449
E7A1AAF1F73115A00DF671AB769FF97A,6312,20140812124256
E7A1AAF1F73115A00DF671AB769FF97A,6270,20140811181244
E7A1AAF1F73115A00DF671AB769FF97A,11714,20140811171804
E7A1AAF1F73115A00DF671AB769FF97A,11535,20140811165113
E7A1AAF1F73115A00DF671AB769FF97A,6270,20140811144051
6EFAB340988119D254F202950EAED608,1634,20140812131652
6EFAB340988119D254F202950EAED608,9124,20140817123045
6EFAB340988119D254F202950EAED608,8696,20140812142536
14BD48F0CF65384FD9A798F67392220B,9200,20140812144743
14BD48F0CF65384FD9A798F67392220B,9200,20140817123058
14BD48F0CF65384FD9A798F67392220B,9014,20140815182426
14BD48F0CF65384FD9A798F67392220B,9014,20140813160822
81164D315B21E6D460395825821EC374,10366,20140811135515
81164D315B21E6D460395825821EC374,10366,20140817173134
81164D315B21E6D460395825821EC374,9483,20140817154815
81164D315B21E6D460395825821EC374,10366,20140815160850
81164D315B21E6D460395825821EC374,10366,20140814114235
81164D315B21E6D460395825821EC374,10366,20140812121751
D4BC2F82573E2BB6FF521FBEAD732D57,3073,20140811162208
D4BC2F82573E2BB6FF521FBEAD732D57,3073,20140815182226
D4BC2F82573E2BB6FF521FBEAD732D57,3073,20140815165928
D4BC2F82573E2BB6FF521FBEAD732D57,3073,20140812114239
3A8988142FDDC3078507F3DA6801E8E8,520,20140812105455
3A8988142FDDC3078507F3DA6801E8E8,2332,20140814112205
3A8988142FDDC3078507F3DA6801E8E8,4889,20140813181440
3A8988142FDDC3078507F3DA6801E8E8,1986,20140813175519
3A8988142FDDC3078507F3DA6801E8E8,1950,20140813165844
3A8988142FDDC3078507F3DA6801E8E8,9652,20140813155629
3A8988142FDDC3078507F3DA6801E8E8,4941,20140813143219
3A8988142FDDC3078507F3DA6801E8E8,3776,20140813102221
3A8988142FDDC3078507F3DA6801E8E8,7297,20140812183102
3A8988142FDDC3078507F3DA6801E8E8,1986,20140812173120
3A8988142FDDC3078507F3DA6801E8E8,1986,20140812161649
3A8988142FDDC3078507F3DA6801E8E8,3790,20140812110620
AA8B676B989D0B7666C02274BB231921,5099,20140811164142
AA8B676B989D0B7666C02274BB231921,5099,20140815115418
AA8B676B989D0B7666C02274BB231921,5099,20140814193900
AA8B676B989D0B7666C02274BB231921,5099,20140813194458
AA8B676B989D0B7666C02274BB231921,5099,20140811195621
F84BA3CBBCAF3719863B4BFE749E1B02,664,20140811123817
F84BA3CBBCAF3719863B4BFE749E1B02,10490,20140814100130
3BFDC8E50624AC41920785B62060B82B,8066,20140811115243
3BFDC8E50624AC41920785B62060B82B,978,20140817120033
3BFDC8E50624AC41920785B62060B82B,978,20140817103208
3BFDC8E50624AC41920785B62060B82B,2086,20140816171704
3BFDC8E50624AC41920785B62060B82B,1019,20140816161741
3BFDC8E50624AC41920785B62060B82B,1019,20140816100331
3BFDC8E50624AC41920785B62060B82B,2114,20140815175510
3BFDC8E50624AC41920785B62060B82B,9112,20140815132625
3BFDC8E50624AC41920785B62060B82B,9112,20140815125943
3BFDC8E50624AC41920785B62060B82B,8986,20140815115730
3BFDC8E50624AC41920785B62060B82B,2086,20140815104508
3BFDC8E50624AC41920785B62060B82B,8066,20140814165329
3BFDC8E50624AC41920785B62060B82B,1019,20140814153138
3BFDC8E50624AC41920785B62060B82B,2042,20140812132038
3BFDC8E50624AC41920785B62060B82B,8066,20140812111439
3BFDC8E50624AC41920785B62060B82B,8066,20140812104744
3BFDC8E50624AC41920785B62060B82B,1023,20140811172342
3BFDC8E50624AC41920785B62060B82B,978,20140811161352
3BFDC8E50624AC41920785B62060B82B,8066,20140811154008
3BFDC8E50624AC41920785B62060B82B,978,20140811143133
D7716660C0E8E81B1456EF1E20F4EEF2,6662,20140811182925
D7716660C0E8E81B1456EF1E20F4EEF2,6661,20140817110919
D7716660C0E8E81B1456EF1E20F4EEF2,7068,20140816135311
D7716660C0E8E81B1456EF1E20F4EEF2,6962,20140816101958
D7716660C0E8E81B1456EF1E20F4EEF2,11849,20140815181131
D7716660C0E8E81B1456EF1E20F4EEF2,6662,20140815122203
D7716660C0E8E81B1456EF1E20F4EEF2,6662,20140814120143
D7716660C0E8E81B1456EF1E20F4EEF2,11603,20140813152129
D7716660C0E8E81B1456EF1E20F4EEF2,11640,20140813145328
D7716660C0E8E81B1456EF1E20F4EEF2,6312,20140813131321
4451FFEA87E023BD566C67A004C2F1E2,9027,20140813150607
