USERID,SHOPID,ARRIVAL_TIME
9431.0,0.0,20140811105156
9431.0,0.0,20140811171740
1947.0,0.0,20140817120002
9935.0,0.0,20140811104107
9935.0,0.0,20140817165311
9935.0,0.0,20140817141241
9935.0,0.0,20140817125005
4320.0,0.0,20140811100141
6810.0,0.0,20140811170732
6810.0,0.0,20140817175743
2046.0,0.0,20140811114605
8277.0,0.0,20140811164330
8277.0,0.0,20140811191351
6947.0,0.0,20140817112920
6947.0,664.0,20140817100015
7484.0,0.0,20140811181243
7484.0,0.0,20140817115844
4675.0,0.0,20140811120301
4675.0,0.0,20140817120756
6447.0,0.0,20140811163637
4332.0,0.0,20140811104245
4332.0,0.0,20140817180650
4332.0,0.0,20140817160633
4332.0,0.0,20140817113039
4332.0,0.0,20140811163910
4332.0,0.0,20140811155853
4332.0,0.0,20140811122033
4323.0,0.0,20140811111801
5296.0,0.0,20140817173206
1673.0,0.0,20140817135445
2096.0,0.0,20140811133608
3401.0,0.0,20140811151652
9484.0,0.0,20140817173024
1560.0,0.0,20140817163328
7199.0,0.0,20140811175523
6775.0,0.0,20140811110337
6775.0,0.0,20140817113425
6775.0,0.0,20140811125838
1183.0,0.0,20140817183929
1183.0,0.0,20140817171711
1183.0,0.0,20140817141613
1900.0,648.0,20140817194233
2870.0,0.0,20140811101713
2870.0,0.0,20140811174226
2870.0,648.0,20140811115526
1214.0,0.0,20140811183007
5717.0,0.0,20140811161836
4870.0,0.0,20140817161803
4870.0,0.0,20140817151112
2917.0,0.0,20140811101721
7426.0,0.0,20140811114141
288.0,0.0,20140811101853
842.0,0.0,20140811120507
842.0,1910.0,20140817150556
842.0,0.0,20140817133617
842.0,0.0,20140811171214
842.0,1910.0,20140811133143
7438.0,0.0,20140817133822
7723.0,0.0,20140817111140
7723.0,0.0,20140817104033
8871.0,0.0,20140811185551
8871.0,0.0,20140817152203
381.0,1910.0,20140811104937
381.0,664.0,20140817143237
381.0,1910.0,20140817124019
9420.0,0.0,20140811190131
9420.0,0.0,20140817180914
1498.0,0.0,20140811112801
1498.0,0.0,20140811121923
126.0,0.0,20140811185830
126.0,1980.0,20140817105043
2584.0,0.0,20140811152236
2584.0,0.0,20140817131226
2584.0,0.0,20140817101118
